STATE/UT,DISTRICT,Change in Crime Pct 2001-2002,Change in Crime Pct 2002-2003,Change in Crime Pct 2003-2004,Change in Crime Pct 2004-2005,Change in Crime Pct 2005-2006,Change in Crime Pct 2006-2007,Change in Crime Pct 2007-2008,Change in Crime Pct 2008-2009,Change in Crime Pct 2009-2010,Change in Crime Pct 2010-2011,Change in Crime Pct 2011-2012,Change in Crime Pct 2012-2013,Change in Crime Pct 2013-2014,Rolling Mean 2yr,Rolling Mean 3yr,Predicted Change in Crime Pct 2014-2015
andhra pradesh,anantapur,27.247191011235955,6.622516556291391,-5.797101449275362,-6.593406593406594,6.11764705882353,-0.22172949002217296,-22.22222222222222,16.857142857142858,26.405867970660147,-2.321083172147002,-14.257425742574256,56.12009237875289,17.307692307692307,36.7138923432226,19.72345298129031,17.275212814416463
andhra pradesh,chittoor,-4.166666666666666,2.2883295194508007,39.59731543624161,-0.9615384615384616,4.854368932038835,25.462962962962965,-7.134071340713407,8.47682119205298,-5.128205128205128,3.2175032175032174,0.7481296758104738,-12.252475247524753,-16.784203102961918,-14.518339175243336,-9.429516224892064,-16.80112241845145
andhra pradesh,cuddapah,-7.194244604316546,-7.751937984496124,42.436974789915965,-15.04424778761062,73.26388888888889,16.83366733466934,6.003430531732419,-30.097087378640776,40.74074074074074,-33.55263157894737,13.118811881188119,67.6148796498906,-50.65274151436031,8.481069067765144,10.026983338906136,-50.7898239042202
andhra pradesh,east godavari,4.842105263157895,36.74698795180723,-15.27165932452276,9.878682842287695,32.33438485804416,14.898688915375446,0.8298755186721992,-2.880658436213992,-21.29237288135593,50.06729475100941,-3.856502242152467,9.981343283582088,-1.441899915182358,4.269721684199865,1.5609803754157525,-1.397364385744646
andhra pradesh,guntur,10.158311345646439,4.311377245508982,-5.281285878300804,4.484848484848484,20.765661252900234,17.675312199807877,-15.10204081632653,57.59615384615384,-24.10006101281269,-22.668810289389068,13.097713097713099,5.422794117647059,0.8718395815170008,3.1473168495820296,6.4641155989590535,0.899282783837473
andhra pradesh,krishna,25.774877650897228,-10.376134889753567,2.894356005788712,0.42194092827004215,-13.025210084033615,20.128824476650564,10.991957104557642,11.231884057971014,9.011943539630836,53.68525896414342,2.3331173039533377,-6.396453451551615,-10.622462787550745,-8.50945811955118,-4.895266311716341,-10.443604915910793
andhra pradesh,kurnool,23.076923076923077,17.234848484848484,12.439418416801292,-7.183908045977011,19.040247678018577,32.249674902470744,-0.2949852507374631,10.749506903353057,11.398040961709706,-11.830535571542766,-40.61650045330916,31.755725190839694,27.11471610660487,29.435220648722282,6.084646948045137,27.140088653837505
andhra pradesh,nellore,-3.146853146853147,-24.548736462093864,-8.133971291866029,-2.083333333333333,27.127659574468083,8.786610878661087,-1.9230769230769231,4.967320261437909,-2.2415940224159403,-25.095541401273884,46.42857142857143,13.008130081300814,8.735868448098664,10.871999264699738,22.724189985990304,8.721378373013065
andhra pradesh,prakasham,-7.088607594936709,25.885558583106267,-21.645021645021643,18.50828729281768,43.58974358974359,31.493506493506494,-32.46913580246913,6.2157221206581355,4.647160068846816,12.006578947368421,-5.286343612334802,41.3953488372093,-20.723684210526315,10.335832313341491,5.12844033811606,-20.85892172736171
andhra pradesh,srikakulam,-0.91324200913242,23.963133640552993,2.6022304832713754,-2.898550724637681,24.62686567164179,68.26347305389223,-5.6939501779359425,-30.377358490566035,32.52032520325203,15.950920245398773,-1.763668430335097,37.34290843806104,-14.248366013071895,11.547271212494572,7.110291331551349,-14.185077007887958
